rank,surname,name,year,club,points
284,LEMAIRE,Pierre,2002,WATTRELOS CE,479.69
285,VANG,Maxime,2002,RILLIEUX LP,469.67
286,LUCAS,Corentin,2001,MONTARGIS AE,466.42
288,HELLEBOID,Romuald,1991,ANICHE OMS,434.68
288,CHEURFA,Yanice,1996,AULNAY CE,434.68
290,ZUBER,Thibault,1993,PARIS USM,430.05
291,CRANNY,Ronan,1994,AUZEVILLE ST,428.63
293,MARION,Sonny,2002,RILLIEUX LP,399.80
294,BOURY,Quentin,1996,PARIS RCF,382.98
295,BRAVO,Emile,1999,RILLIEUX LP,366.21
296,JOUANMIQUEOU,Bastien,1993,AUZEVILLE ST,353.82
297,FRANCOIS,Axel,2000,MONTARGIS AE,338.20
298,BERTAUX,Maximilien,1997,NANCY SA,329.47
299,BULOURDE,Yoann,1982,NANTES ERNM,316.79
300,PROSSE,Nand,2004,ROUBAIX CE,310.89
301,VAN STRYJTHEM,Laurent,1988,BOULAZAC,302.23
302,SIMONS,Arthur,2002,CHARLEVILLE,280.00
303,TALLAS,Hugo,2001,RCS 26,267.29
304,LEGRAND,Gauthier,1993,PARIS EPEE,258.91
305,MACASSO,Cyrille,1972,MONTARGIS AE,257.06
307,ISTRIA,Mickael,1985,SEYSSINS,234.90
307,OFARRELL,Jean Luc,1957,ANTIBES,234.90
309,VILSANS,Julien,1985,MONTARGIS AE,209.20
311,MAUREL,Nicolas,1980,SEYSSINS,171.00
312,COSTALONGA,Zian,2003,ST QUENTIN,162.67
313,MAURICE,Adrien,1988,CHARLEVILLE,152.52
