rank,surname,name,year,club,points
331,GELE,Thibaut,1989,ANTONY,812.98
332,BENIELLI,François,1998,PARIS NORD,799.65
333,BLOT,Cyril,1988,BEAUNE CE,768.03
334,MARTIN,Camille,2006,CHAMPIGNY MA,721.15
335,BURNET,Emilien,2000,PARIS NORD,703.65
336,BONNEAU,Amaury,2002,ESL 45,702.28
336,COZETTE,Julien,1965,BOURGUEIL ES,702.28
338,PETIZON,Francois,2001,PARIS GRP,682.85
339,PAVIET GERMANOZ,Gregori,1976,AUBERVILLIER,669.86
340,WUILLEME,Florian,1979,VELIZY CE,657.65
341,SEGUIN,Dorian,1995,DIJON CE,645.15
342,BOURVEN,Pierre-Yves,1982,LILLE UC,644.07
343,NADAL,Noël,1997,VILLEJUIF US,637.76
343,HEBERT,Nicolas,1996,VILLE AVRAY,637.76
345,VONTHRON,Adrien,1998,MENUCOURT EC,608.03
346,BOUDJAKDJI,Badis,1993,PARIS TA,605.94
347,LEMAIRE,Augustin,2004,PAYS FOYEN,595.79
348,HIET,Alexandre,1984,RUEIL MALMAI,590.15
348,SADOUK,Thami,1980,PARIS TA,590.15
350,TOSCANO,Marius,2001,VELIZY CE,583.60
351,MOULUN,Fabien,1994,LES LOGES,571.48
352,MARCAILLOU,Florian,1970,PARIS TA,570.59
353,JUDAS,Baptiste,1999,NANTES NEC,559.42
354,VOUTIER,Francois,1992,PARIS TA,558.77
355,DORISON,Anton,2004,ROUEN CE,547.42
356,LOYER,Victor,1993,PARIS SCUF,543.19
357,ANTONIN,Theo,1996,TEAM FLEURET,527.68
358,LACASSE BUFFETAUD,Baptiste,2004,PARIS DUELLI,523.60
359,BADINOT,Cyril,1972,ISSY MOUSQUE,512.24
360,GUENET,Jean Marc,1970,VAUZELLES EC,511.78
360,TAUZIN,Bastien,2004,NANTES NEC,511.78
362,MISERY,Alexis,1982,LILLE VAUBAN,509.62
363,CHARPENTIER,Julien,2002,PAYS AIX,488.31
363,HERVOCHON,Arthur,2004,ANTONY,488.31
366,DARCY,Emilien,1997,SOISSONS CE,481.57
367,XXXXX,XXXXX,XXXXX,PARIS RCF,451.16
367,HERBLOT,Etienne,1998,GECER 45,451.16
369,BAJO,Louis Henri,1998,DIJON CE,442.05
370,DERNONCOURT DE PAEPE,Vincent,2004,MURET CE,433.31
371,BAUDOUIN,Philippe,1954,PARIS NORD,429.67
372,KODRANE,Rami,2003,PAYS AIX,419.25
372,ROUX,Thibault,1993,LILLE VAUBAN,419.25
374,CREUZE,Philippe,1964,PONT STE MAX,406.06
374,ROUFF,Simon,1998,TRAPPES EC,406.06
374,BAKOTO,Arnaud,1989,ISSY MOUSQUE,406.06
374,CHARRIER,Antonin,1997,ISSY MOUSQUE,406.06
378,ROUSSEL,Alexandre,1984,NANTES NEC,396.67
379,BONNET,Matteo,2003,BLR92,385.46
380,LOUIS,Sylvain,1974,ANTONY,374.30
381,CLEMENT,Quentin,2003,BOURGES EMB,371.26
382,MINIOT,Quentin,1995,MERIGNAC SE,352.13
383,BERTHOME,Aurélien,1988,CALAIS CDA,341.12
384,DELAPRE,Noa,2003,CHOLET EPEE,319.26
384,BARON,Richard,1997,HOUILLES GO,319.26
386,LIZUT,Bastian,1994,BORDEAUX EC,303.05
387,ROGERS,Andrew,1987,PARIS TA,288.59
388,BEDEJUS,Kevin,1984,COMBS VILLE,286.84
390,GAUDIN,Pierrick,1998,ST DOULCHARD,265.47
391,BOURGEAT LAMI,Maxime,2001,MOIRANS CES,254.85
392,PETIT,Kevin,1989,ISSY MOUSQUE,245.55
393,IBARZ,Xavier,1988,PARIS QDS,231.33
393,TORTORA,Frederic,1963,PARIS TA,231.33
395,EDOM,Jordan,1994,AUBERVILL EC,223.28
396,COTTIER,Nicolas,1991,ISSY MOUSQUE,203.05
397,LIMER,Miguel José,1970,RUEIL MALMAI,192.12
398,PICHON,Julien,1994,VELIZY CE,181.83
399,ROUSSEL,Julien,2001,AUBERVILLIER,171.58
400,WIECKOWICZ,Kenny,2001,MEUNG LOIRE,165.70
401,LEBOSQUAIN,Landry,2002,SABLE SARTHE,161.37
401,LEROY,Jonathan,1994,LES LOGES,161.37
403,BONOMO,Frederic,1973,MEAUX CE,131.00
404,DEAU,Darel,2001,FORT DE F AE,100.00
